School Name,Start Date,End Date,Notes,Degree Name,Activities
Vellore Institute of Technology,2017,2021,,Bachelor of Technology - BTech,
alwin memorial public school,2016,2017,"secured 475 marks in physics, chemistry, math , computer science and english",cbse class 12,
